iter	Passed	Remaining
0	158	158186
1	160	79947
2	162	53880
3	163	40824
4	165	33027
5	168	27957
6	171	24268
7	172	21433
8	174	19171
9	175	17358
10	176	15877
11	177	14645
12	179	13601
13	180	12719
14	182	12004
15	184	11327
16	185	10722
17	186	10187
18	187	9704
19	189	9271
20	190	8881
21	191	8525
22	193	8198
23	194	7898
24	196	7655
25	197	7409
26	199	7172
27	200	6950
28	201	6744
29	202	6554
30	203	6374
31	205	6206
32	206	6049
33	207	5901
34	210	5796
35	212	5678
36	213	5556
37	214	5442
38	216	5330
39	217	5221
40	218	5117
41	220	5019
42	221	4926
43	222	4840
44	224	4762
45	225	4683
46	227	4604
47	228	4529
48	230	4467
49	231	4400
50	232	4333
51	234	4267
52	235	4206
53	236	4146
54	238	4098
55	240	4047
56	241	3993
57	242	3939
58	243	3888
59	244	3838
60	246	3789
61	247	3743
62	248	3697
63	249	3655
64	251	3613
65	253	3585
66	255	3551
67	256	3513
68	257	3475
69	258	3438
70	259	3401
71	261	3366
72	262	3332
73	263	3300
74	264	3268
75	266	3237
76	268	3217
77	269	3186
78	270	3156
79	271	3126
80	273	3097
81	274	3069
82	274	3036
83	276	3012
84	277	2988
85	278	2963
86	280	2939
87	282	2924
88	283	2903
89	284	2880
90	286	2856
91	287	2834
92	288	2812
93	289	2791
94	290	2771
95	292	2751
96	293	2730
97	294	2711
98	296	2701
99	298	2685
100	299	2666
101	300	2647
102	301	2629
103	303	2612
104	304	2595
105	305	2577
106	306	2560
107	308	2544
108	309	2527
109	311	2517
110	312	2503
111	313	2488
112	315	2473
113	316	2462
114	318	2452
115	319	2438
116	320	2421
117	322	2407
118	323	2393
119	324	2380
120	326	2371
121	327	2357
122	328	2344
123	329	2330
124	331	2317
125	332	2305
126	333	2291
127	334	2279
128	335	2267
129	336	2254
130	338	2242
131	340	2236
132	341	2227
133	342	2216
134	344	2205
135	345	2194
136	346	2183
137	347	2172
138	349	2161
139	350	2151
140	351	2140
141	352	2128
142	353	2118
143	355	2112
144	356	2103
145	357	2093
146	359	2088
147	361	2079
148	362	2073
149	364	2066
150	366	2058
151	367	2049
152	370	2050
153	373	2054
154	375	2047
155	377	2040
156	378	2031
157	379	2023
158	381	2015
159	382	2007
160	383	1996
161	385	1993
162	387	1988
163	388	1980
164	389	1971
165	390	1963
166	392	1955
167	393	1947
168	394	1939
169	395	1931
170	396	1924
171	398	1917
172	399	1911
173	401	1904
174	402	1897
175	403	1891
176	405	1886
177	407	1881
178	408	1874
179	409	1867
180	411	1860
181	412	1852
